customer_id,last_payment,frequency,monetary,recency_days,r_score,f_score,m_score,segment
00ae9f8045bcf12a3d5781669534b7c1700e853f,2009-03-20 13:49:43.588248,1,1.0,327,2,1,1,standard
00f1128736a069a97d96aeff5154595a9824e81d,2010-02-10 23:37:46.184439,22816,71315.58,0,4,5,5,champion
01e10adf72398bdf40b668926be2809ccf68b4dd,2010-02-08 10:18:13.196949,275,11322.4,2,4,4,4,champion
02abfe216906d699a48d39d56b71327b294027cb,2009-03-31 12:59:44.735396,131,6271.49,316,2,4,4,at_risk
030e085f49a63c537c4461eb5fc036d4086c2cc0,2007-02-08 15:00:41.016008,1,0.0,1098,1,1,1,standard
03bdc906cb6d5941a654ae715b7ceba07a1f9545,2010-02-10 20:32:09.204007,17473,441409.63,0,4,5,5,champion
07ac9611cbbbfd792676c74929b3231bbcbe9d5a,2006-10-07 10:23:14.440880,23,133.0,1222,1,3,2,standard
085488a84d1ec1e01d98f8a87002ead0fbf3e642,2010-01-27 11:01:03.399259,2,8.07,14,3,1,1,standard
09d50041668b4ce73ffadcc844025722b74cf2e7,2010-02-10 10:21:44.740317,255,4814.72,0,4,4,4,champion
0a2a13f8db7f745f0133ecfbedbc72d4999d758c,2009-12-30 10:36:14.053452,17,11228.699999999999,42,3,3,4,high_value
0d3807047460cc3095de8f87420d6c2eec0f7c6a,2010-02-10 13:52:33.070610,160,381.23,0,4,4,2,standard
0d8e2f6f658798cf5c664105765e0e4af80cb53b,2010-02-05 15:15:21.211084,129,2043.48,5,4,4,3,standard
0e6470540c439c8a8258849bbe898b284bbcf94f,2008-05-20 14:36:35.160078,1,0.1,631,1,1,1,standard
11473d8d1458095cb2f1abdcd20e292638a95390,2010-02-10 19:32:33.855039,368,3565.47,0,4,4,4,champion
13106fdc2b4cd5cdc1ea1055a54798febccd76bb,2010-01-10 21:30:11.733772,19,2892.95,31,3,3,4,high_value
134be5823bcfd7214cd8cf7b4f431eeb912e10ab,2010-02-06 13:39:46.624748,18,2087.82,4,4,3,3,new_or_reactivated
153ce37a3777d73b648cbe52047082bf138c1fb6,2007-12-10 09:18:25.060458,34,2846.4,793,1,3,4,at_risk
17f6971ed49b760b31a776a465f8c8d1d1b04976,2010-02-10 22:48:33.997737,3458,17508.54,0,4,5,5,champion
17f8c6baf4086e93b586c460f793bd7ed532bf4a,2009-04-23 14:55:19.622925,6,85.86,293,2,2,2,standard
1911acfcfdc29f5349706da6c1494009e7125da0,2010-02-10 23:32:53.415522,751,2626.4,0,4,4,4,champion
1aeed032e78e0685f2b5bcbeac56fa77bf3062c6,2005-08-07 11:48:33.249067,1,0.0,1648,1,1,1,standard
1e5103ded17ceab1f895175dedfed72eb26e930f,2008-09-12 11:45:29.594086,1,0.01,516,1,1,1,standard
1e8ccda18cc98edc738c901a1793aff670d2bce7,2010-01-02 15:19:29.300947,9,3.53,39,3,2,1,standard
1eb0d741fe15bb847f5978befc7f2a6d6b49a8b9,2010-02-10 13:31:09.386707,1,5.0,0,4,1,1,new_or_reactivated
1ef6bba0302bf5055c3d1eeab8f5e17e87757cf8,2006-04-23 00:34:24.164532,1,0.15,1389,1,1,1,standard
1f44d471c37119088da680930a071475b5b1acfb,2006-12-19 05:33:09.301698,31,1426.3,1149,1,3,3,standard
2323ab80152cd36084e07db0cd25a895e518e64c,2009-09-30 16:18:59.797936,4,0.0,133,2,2,1,standard
237e2b13c07a40e4de137c7affafccb64baaa78b,2008-09-03 13:44:48.551840,3,11.97,525,1,1,1,standard
23ccdea7e8c9eda0ba558e5668eac0d54f5611e7,2010-01-23 11:04:31.664621,2,0.7,18,3,1,1,standard
243382a0f863464ad40dad55f6aac407e2b4e554,2010-01-12 13:43:14.507094,3,921.26,29,3,1,3,standard
2460311211723767b2a7e3354f7587814d13ead8,2010-02-07 11:14:42.918277,14,2108.35,3,4,2,3,new_or_reactivated
25dc0237dd6a61d44890c7b6ca61672641ed90e4,2010-02-10 16:35:12.367940,1228,2175.03,0,4,5,3,standard
283e4d9ced5bdc28f99708d4cfde0d0cd975588f,2010-01-23 14:52:50.958080,34,9688.12,18,3,3,4,high_value
29f44f95c9214f9472b320222d8609693affc57a,2010-02-07 15:34:09.495569,1663,419381.28,3,4,5,5,champion
2b187c51600418a8746dda4dea61b58d6749b7bc,2010-02-10 15:01:05.555661,180,32989.22,0,5,4,5,champion
2e79596127a361414e8e38260a614ac332d63a15,2008-04-16 19:52:07.240353,2,12.0,665,1,1,2,standard
2fe4181ad1858cc433572290eb913a9e2c4ae229,2008-08-17 08:17:05.832234,86,12925.3,542,1,3,4,at_risk
3110d36654ff983d89393b8cacdf7a41490a0e85,2009-11-06 10:13:42.633524,30,300.15,96,2,3,2,standard
33dc22d9ecc8c6469e04dbe7623ae739eecee5ef,2010-02-10 19:02:42.592671,505,24376.75,0,5,4,5,champion
361a4ab745bc87e623ba12f2d6c13c8a45492179,2010-01-03 06:20:43.850419,40,1722.42,38,3,3,3,standard
365a3d703f257f52adde00af51c7f4897a6f9c6a,2010-02-10 07:20:57.816799,8,273.0,0,5,2,2,new_or_reactivated
3982b21f517b83e2075260209ce4e1a9478865f9,2009-01-22 15:27:59.047444,1,1.0,384,2,1,1,standard
3a79b8eb65ff16bf1ce0b13c034bc80148702151,2009-10-09 13:40:00.064741,1,0.1,124,2,1,1,standard
3a8fea2b1ee07f4fe6cc86f8654f4efc1fb788e5,2009-09-11 17:02:19.279809,16,44.300000000000004,152,2,2,2,standard
3bf7730219968354359eb3c231aa1417954bfea6,2007-05-20 09:47:02.645570,1,2.1,997,1,1,1,standard
3d5dca7bace60b1aab6d1b227e0eaef90b273f50,2010-02-09 14:53:38.950466,103,5608.7699999999995,1,4,4,4,champion
3f5ae674c89120befdcbc093121d0b177da6980b,2010-02-05 16:21:55.027559,49,306.69,5,4,3,2,standard
43fd45b6382a56c3aa03a941da0aa9914e006e24,2010-02-07 02:04:00.494680,211,656.2,3,4,4,3,standard
44eb036afd21241117cc16168e80454796672844,2009-08-13 18:17:22.001812,224,359358.3,181,2,4,5,at_risk
45139fdc273ad9a8d7d60525394db9a154e80ba9,2009-05-28 13:42:54.680235,15,1.23,258,2,2,1,standard
4781dd7e28b3d55301522db7a4fd1566fa125dc3,2009-06-07 18:31:38.349456,41,2486.21,248,2,3,3,standard
480a4da29f0194eab21467057279642a177ec3cf,2009-08-29 12:03:10.817668,1,10.0,165,2,1,1,standard
499c40bd5e5baaa44bb3a79af15be7ea87b0c6b2,2009-05-26 17:18:28.547347,58,627.8,260,2,3,3,standard
4bb19acaac03d1a7c05f861962da52c56cf580bc,2008-04-02 11:30:28.017879,1,0.0,679,1,1,1,standard
4d77a245c5a8140938c1e61a95107f4b89a103ef,2009-12-02 16:33:38.083326,6,60.5,70,2,2,2,standard
4dce239d41d5e80e54a36c183ffe0897d87d0ace,2010-01-26 12:49:13.183427,1,500.0,15,3,1,3,standard
4fe1fe1a48c328b4fff5382dd5b6fb678654a6f3,2010-02-10 23:01:11.346065,681,30112.91,0,5,4,5,champion
50b0ac17de727600c2bf19aff96e46acdb42ccee,2010-02-10 18:40:07.829740,1391,9901.28,0,5,5,4,champion
5300313e698b5062bfe820f7efc7571699b4bb4c,2010-02-02 07:54:05.430011,178,1493.37,8,3,4,3,standard
55c47a48d490f3cc46abfc6924622a2309ff96b9,2010-02-08 20:38:42.095148,32,76.25,2,4,3,2,new_or_reactivated
56214eb47d4fecc40b088bcda9de725d6348f9d9,2010-01-29 07:32:02.725078,9,428.74,12,3,2,2,standard
585d8ddd7e0cf8dd1cb35defadaa7b3cb9eb8121,2010-02-10 21:35:14.211728,861,1823.97,0,5,5,3,standard
58a4d6a99e5d880ccb6de125a99d05e0b553f717,2010-02-10 05:40:48.468925,4046,16289.9,0,5,5,5,champion
5bbe1cbd5c2d2705ab051a6656871d1e8544b21d,2010-02-08 16:56:31.238991,679,214861.33,2,4,4,5,champion
5e14fcdf254d75359cf3b17b9fc6d1eeec755ea8,2009-08-07 14:10:23.629266,315,1559.67,187,2,4,3,at_risk
5f5433c15a4f7ee179f789156b46a93d2089382e,2009-07-18 19:29:41.343220,871,17136.16,207,2,5,5,at_risk
5f9937e0af5736404de3f91bd4d8d63a0fdef66a,2009-12-17 16:35:30.551564,4,571.0,55,3,2,3,standard
5fa03c0259fe9d6d7763bf34ab2812da2a9ee930,2008-12-14 14:22:55.484823,15,958.59,423,2,2,3,standard
5fb604e8092d3233a6de98c3e409d6bef1556424,2007-07-20 19:28:24.029058,8,131.6,936,1,2,2,standard
61047a7102fb14e661634bf5171d4d2aa77013a7,2010-02-04 21:04:28.277971,133,5705.31,6,3,4,4,high_value
6211c570cb9d0530ba7714bbcd496b37d6568a0b,2010-02-07 12:51:28.272561,1453,46940.43,3,4,5,5,champion
63237c0742e42bfd7d59d68d894d010aa4cca170,2010-02-10 23:47:34.203782,102222,2822439.61,0,5,5,5,champion
64c370a753b1db282770cdbf2aba5434a3185b3d,2010-02-10 23:01:53.538356,5843,111184.51,0,5,5,5,champion
66d78f2bca1f8bd1602cb72c5aff685d78ec8d2e,2010-02-10 23:29:42.974523,23025,1323738.05,0,5,5,5,champion
6b18ccd5f538daf6abfc0b6e2689737f16f3a733,2010-02-10 20:47:11.726090,8199,43731.44,0,5,5,5,champion
6b9aa19c38a47a7d809eb3203685aaf80e25e9d6,2010-02-06 07:25:14.561838,52,3293.09,4,4,3,4,high_value
6ba6516465078cc110449fd9332bbc886d42ded9,2009-04-02 12:04:10.306046,811,3342.0,314,2,5,4,at_risk
6d6f8daa7030c7de96bab387deafb399cdaea056,2010-02-03 15:19:15.519025,66,15679.2,7,3,3,5,high_value
6df237286251ae892f201747242e5ea3822e6ef5,2010-02-10 23:04:51.105322,9839,71537.79,0,5,5,5,champion
6e00ad8c3ecee4ef5ba5f8ddf15527a0493951a9,2008-07-23 12:29:29.715677,210,9141.37,567,1,4,4,at_risk
6f0a1d2a99569266b00e6b691af29ca2a376ef59,2010-01-02 17:59:14.091722,14,2066.56,39,3,2,3,standard
7212cf1b8e27486ec2eea681ab82e6c3f44f2970,2010-01-05 21:06:59.950603,7,91.67,36,3,2,2,standard
72d5501ffb7d3617c28811a329b6c1b466e48d57,2010-02-10 23:35:54.424170,10433,580256.37,0,5,5,5,champion
765ef79d583268477b0cfe736562a2335f7fd8f4,2010-02-10 16:00:56.210654,1213,5597.6,0,5,5,4,champion
777cdf113e43d5fc2264fcd7c7eeb22837218472,2010-02-10 18:22:17.182859,444,17194.45,0,5,4,5,champion
78e2793b69625723dd562324e09dc277eac5d84d,2009-04-26 20:37:11.228108,29,111.3,290,2,3,2,standard
7a2bce009f441ab34def6cf5f7574854e9fd076f,2010-02-08 17:02:25.193752,57,239.7,2,4,3,2,standard
7d0416d65986b529b84bdcc347c651aa34644223,2010-02-10 13:06:03.459950,12383,597379.01,0,5,5,5,champion
7ddd5bbd74a3be9aeb4c183579e7cdb731f24fb5,2010-01-12 11:03:49.922104,446,19163.29,29,3,4,5,high_value
7fe7a243402b5ca3b451a2b9a53af8f293098bcb,2010-02-08 12:06:04.999118,266,2608.0,2,4,4,4,champion
82908114995386b049c04908c79b05e3a882bbfb,2010-02-10 21:56:24.882360,22944,1839907.11,0,5,5,5,champion
877c3985ceec502bf27375c9ec16ca629d70fc7a,2008-08-23 22:03:00.317207,161,9371.12,536,1,4,4,at_risk
90881b1058859a6e7b44ec2daa44892e71b297b9,2010-02-09 20:01:58.056150,504,2091.69,1,4,4,3,standard
939fb7614d04d0a38a41e00d3cccd01177bac1ea,2007-06-17 15:32:39.699536,6,501.2,969,1,2,3,standard
96d10a37e228dce74549c09e077b9276dd09d6a3,2009-01-14 10:53:55.501807,1,5.0,392,2,1,1,standard
989b2dd626fc4aba885ff944a7a8defdc45bc2f0,2009-12-09 18:09:40.269852,1,0.0,63,3,1,1,standard
98a3a05183450580f8d840dde476c1f988d88121,2005-08-23 11:27:03.211644,1,0.0,1632,1,1,1,standard
9aa0aba05e45cb1d26b08b0595e46df50ba2cc18,2010-02-10 23:51:19.621388,34115,78457.36,0,5,5,5,champion
9b34ea18f4bb51c612de0ff1f87683abbefb67d9,2009-02-28 21:29:05.302052,12,628.63,347,2,2,3,standard
9d6cf0c3e299c8ff60ea75fa93b65a6c4875e1a9,2007-05-29 16:23:10.197773,14,0.0,988,1,2,1,standard
9f3b37acca2166d9d8a911c1ad11b609159ce1e3,2010-02-10 23:30:30.833741,6288,14609.56,0,5,5,4,champion
9fc2814d8ba5f9c847a3d59f3561a56703abac41,2010-02-10 22:42:09.101439,3615,13742.23,0,5,5,4,champion
a0eb09d09d80656deff9c71b7f2ed604f9fe8b83,2010-01-31 07:02:17.182977,20,777.17,10,3,3,3,standard
a114b2bb098cb034d27ebe4ffc1e8d79b804cb04,2010-01-16 08:39:03.656307,1,0.0,25,3,1,1,standard
a13b6236cb9139e7d2af7b10cec49073a493d27a,2009-04-03 22:03:43.270802,1,300.0,313,2,1,2,standard
a353a8a9c973588be6eb657f1ad1961f8c31106a,2010-02-10 14:44:32.352585,167,5539.72,0,5,4,4,champion
a5c136dbca820d544bbfe2190f3adc235008ef31,2008-08-09 18:27:11.435564,1,0.1,550,1,1,1,standard
a7bd7b8b1d2abe25f3f6c5785086186c1e0ebf8a,2009-06-17 10:24:44.374339,17,2866.82,238,2,3,4,at_risk
a99bf3374e08bb5795e33e957ce18aae392d6f35,2010-02-10 19:14:24.436426,151,953.33,0,5,4,3,standard
aa6b78ddea90f0d4fe34afefddd15c5152203066,2006-03-30 13:05:42.321239,1,0.53,1413,1,1,1,standard
af74712e139887fd0597fb2d71737d4792600152,2009-12-10 14:34:19.167714,9,1119.4,62,3,2,3,standard
b043298a27000599e47841ec90394ba7ed1e7663,2009-07-23 08:58:51.470475,537,3730.42,202,2,4,4,at_risk
b394923adcd875aa0533851fffd848a78d4d6a00,2006-10-07 06:44:48.586212,3,28.5,1222,1,2,2,standard
b76858b2b5617b8661753b6e7092325d981c3593,2007-08-03 15:29:23.395170,1,64.2,922,1,1,2,standard
bb867e6d93ef8220779c9924420634e7edaad76f,2009-11-06 19:27:59.049502,9,17.5,96,2,2,2,standard
bbae51668208d849a74366c8eab43e990f60276d,2010-02-05 18:46:19.492295,92,1498.69,5,4,3,3,standard
bdb4a4c12e84cf47100355e313846e5b40137f8d,2009-07-29 10:34:25.150500,1,0.1,196,2,1,1,standard
be11070cba4d6092bddc6aebc33ee3327ed24958,2008-10-16 01:04:51.119810,133,208.6,482,1,4,2,at_risk
bf250aa9ce70ddebd2385198c09f711f36002e46,2010-02-10 23:35:35.405459,1596,8230.86,0,5,5,4,champion
c1d2b440daf984b947b5de913d5ebf2a9c320c04,2009-11-03 08:08:33.859441,4,0.05,99,2,2,1,standard
c31a44fb27ea87730b1160e319b8a722fa21d179,2008-09-14 15:45:53.902809,1,100.0,514,1,1,2,standard
c433141a9d63a2c9f3dbe6f4fc8dd6e6971e5f79,2009-12-12 11:32:09.954493,3,42.14,60,3,2,2,standard
c59fa9fff4a1919a53d32bce17b2f7dfcd5ac239,2009-12-31 11:51:33.394321,13,156.63,41,3,2,2,standard
c662c16eda20102b8bf391b6ed1f8d3ce4018da1,2006-07-18 14:51:07.741591,1,0.0,1303,1,1,1,standard
c9549ca8a9a2def74a274001ee4b28188f516f19,2009-11-19 13:30:14.492226,3,5.0,83,2,2,1,standard
ce4693c375e41dc9aff2fed5a76ecc43108618cf,2010-01-31 15:12:29.272905,46,433.06,10,3,3,3,standard
ceca867e41d2c14870fe15b324308c2274486b90,2010-02-10 23:37:55.608865,36333,540765.86,0,5,5,5,champion
d0f2e447062bc248e0ecd2b2dc7a9ec7f5321236,2010-02-10 17:51:17.284455,757,2672.25,0,5,5,4,champion
d21a553f853ae6a6d4976a225365627f913a200c,2010-02-04 06:01:00.413855,93,34708.45,6,3,4,5,high_value
d2888cc5056d02fa8d45bc7602691be2e8a2c8e2,2008-04-14 16:28:23.047522,2,0.2,667,1,1,1,standard
d28a09395185d50068c50ed9f6ff6bf36e777032,2010-02-10 20:34:13.177522,2392,91287.1,0,5,5,5,champion
d292da2283043c07accb1086a004caaf05472d44,2010-02-10 22:56:35.270749,17989,76242.92,0,5,5,5,champion
d2d634187ea89e644bdeac952897af129918a721,2009-11-15 09:02:25.330290,4,55.769999999999996,87,2,2,2,standard
d31fab6a6a6045defebf2e83a31a99d5704de6b0,2010-02-08 21:23:02.488965,6,25.16,2,4,2,2,new_or_reactivated
d5c4ca9ba40d54a5e70d2d10f6d216d8cb28a9ae,2009-05-27 15:25:16.081127,19,2332.92,259,2,3,3,standard
d8463f917ef21cc75906be56a40a3520f28aa781,2010-02-08 13:25:54.273880,14,24.05,2,4,2,2,new_or_reactivated
dcf8d45d0b7bdf25f4380fab86d5850e15bb6656,2010-01-05 14:05:35.504596,19,1651.34,36,3,3,3,standard
e2f7d039a3b57f89fbffcadd6b23f5b825e468cd,2010-02-11 00:01:05.197460,7469,11316.97,0,5,5,4,champion
e3398343b79caeae581e929f429c5aac030ad142,2010-02-10 17:38:25.929129,16,5477.2,0,5,3,4,new_or_reactivated
e4cf6aafffbe641b102e6f63723be52df29f3e43,2010-02-09 14:49:17.156480,21,1368.94,1,4,3,3,new_or_reactivated
e59c22a542f853d98cff52ae7fffc9251e84f8e2,2008-05-27 16:14:27.986300,23,1137.49,624,1,3,3,standard
ea9905ffb4c25f6bd2e6a2d480cc4dde29794e02,2008-06-04 21:38:05.801586,1,3.3,616,1,1,1,standard
eca07b90e7a1f4b673d94858fad8221cbc2dc373,2008-10-15 22:16:52.556902,111,297.4,483,1,4,2,at_risk
f01dc54a26fe2a3def3dee28f7fb7c56c83ee7e7,2010-02-10 23:23:42.154288,3214,11931.35,0,5,5,4,champion
f183721bbd535a2b5e3d7db1aebe079fdfb1d126,2010-02-05 19:46:42.374919,56,891.6,5,4,3,3,standard
f2afb63a36f36b6e470d033b82b0d020167f4ff9,2010-02-04 14:14:41.414909,64,68169.09,6,3,3,5,high_value
f66f2f438fc87dd7deff8e022a67cc5d71aa6968,2010-02-10 21:14:56.599985,1539,21970.25,0,5,5,5,champion
f6f6e415b1ea04a3f70eb9ce2a1da9f067dc93ca,2010-01-28 06:42:14.939518,32,228.5,13,3,3,2,standard
f7c68acb7040851f739838cecf2ae27368b0e2c2,2010-02-09 15:16:35.390520,179,38524.8,1,4,4,5,champion
f8d61b481c06ce2ef7d48a4929c7b9e59adf2749,2009-12-16 13:31:27.713235,32,8352.32,56,3,3,4,high_value
fd195203064624ca9d3febe9db434ce97f29fe1f,2010-01-07 14:43:44.295178,4,103.07000000000001,34,3,2,2,standard
fdacd1c5045800c4a51e9fb780972f69828ef41e,2008-11-20 10:01:18.750514,3,71.69999999999999,447,1,2,2,standard
fe85ac10f39a80d1fcae429f389f7e039696ce61,2009-12-25 12:37:57.026137,3,1322.38,47,3,2,3,standard
