failure_reason_clean,failed_payments,failed_amount,share_of_failed
expired,23173,4382364.52,0.5114887981459
not_authorized,6561,2692474.46,0.14481845270941396
provider_rejected,5586,433404.42,0.12329764926608543
canceled,2797,93328.38,0.06173711510870765
user_canceled_at_provider,2182,158495.29,0.048162454475223486
provider_error,1307,75918.05,0.028848912923518374
insufficient_funds,1098,262173.6,0.024235735570025382
provider_expired,1047,755425.99,0.023110032005297428
missing,684,35277.91,0.015097671338704337
verification_declined,260,432.29,0.005738880918220947
rejected,222,10453.92,0.00490012139940404
internal_server_error,190,5839.900000000001,0.0041937975940845385
constraint_violation,70,971.92,0.0015450833241364087
payment_limit_exceeded,39,111536.16,0.000860832137733142
authorization_failed,29,3530.8,0.0006401059485707979
invalid_credentials,19,439.8,0.0004193797594084538
invalid_remitter_account,16,102966.3,0.0003531619026597506
mandate_revoked,14,251.78,0.0003090166648272818
invalid_account_details,6,136.0,0.00013243571349740648
invalid_beneficiary_account,3,115.5,6.621785674870324e-05
invalid_otp,2,52.5,4.4145237832468826e-05
