month,payments,executed,failed,tpv,execution_rate,failure_rate,execution_rate_3m_avg
2004-06,1,0,0,0.0,0.0,0.0,
2004-09,3,0,0,0.0,0.0,0.0,
2004-10,1,0,1,0.0,0.0,1.0,0.0
2004-11,1,0,0,0.0,0.0,0.0,0.0
2005-01,4,0,0,0.0,0.0,0.0,0.0
2005-02,5,0,0,0.0,0.0,0.0,0.0
2005-03,4,0,0,0.0,0.0,0.0,0.0
2005-04,3,0,0,0.0,0.0,0.0,0.0
2005-05,4,1,0,3.0,0.25,0.0,0.08333333333333333
2005-06,5,0,0,0.0,0.0,0.0,0.08333333333333333
2005-07,54,35,0,297.2,0.6481481481481481,0.0,0.2993827160493827
2005-08,88,50,0,481.02,0.5681818181818182,0.0,0.40544332210998874
2005-09,201,96,3,1362.36,0.47761194029850745,0.014925373134328358,0.5646473022094912
2005-10,288,165,5,2531.57,0.5729166666666666,0.017361111111111112,0.5395701417156641
2005-11,344,223,4,4903.759999999999,0.6482558139534884,0.011627906976744186,0.5662614736395541
2005-12,453,282,1,6606.93,0.6225165562913907,0.002207505518763797,0.6145630123038486
2006-01,568,317,5,11339.85,0.5580985915492958,0.008802816901408451,0.6096236539313916
2006-02,778,485,11,12182.24,0.6233933161953727,0.014138817480719794,0.6013361546786864
2006-03,909,554,7,15683.619999999999,0.6094609460946094,0.007700770077007701,0.5969842846130927
2006-04,1260,754,18,31628.860000000004,0.5984126984126984,0.014285714285714285,0.6104223202342269
2006-05,1445,890,23,34221.15,0.615916955017301,0.01591695501730104,0.6079301998415363
2006-06,3061,2060,40,84542.64,0.6729826853969291,0.013067624959163672,0.6291041129423095
2006-07,3038,2062,55,86304.1,0.6787360105332455,0.018104015799868336,0.6558785503158252
2006-08,2897,1842,52,82865.6,0.6358301691404902,0.01794960303762513,0.6625162883568882
2006-09,2761,1737,44,74817.29000000001,0.6291198840999638,0.01593625498007968,0.647895354591233
2006-10,2662,1682,2,71543.7,0.6318557475582269,0.0007513148009015778,0.6322686002662269
2006-11,2456,1594,8,60452.45,0.6490228013029316,0.003257328990228013,0.6366661443203742
2006-12,2639,1730,9,62360.76,0.6555513452065176,0.0034103827207275484,0.6454766313558921
2007-01,2602,1738,3,66899.41,0.6679477325134512,0.0011529592621060721,0.6575072930076334
2007-02,2583,1712,2,66753.76000000001,0.6627951993805652,0.0007742934572202865,0.6620980923668446
2007-03,3202,2174,6,81181.14000000001,0.6789506558401,0.0018738288569643974,0.6698978625780388
2007-04,3499,2341,16,97452.45999999999,0.6690482995141469,0.004572735067162046,0.6702647182449374
2007-05,3217,2149,7,85199.31,0.6680136773391359,0.002175940317065589,0.6720042108977943
2007-06,3641,2390,7,97152.23,0.6564130733315023,0.0019225487503433123,0.6644916833949284
2007-07,3418,2232,7,80258.13,0.6530134581626682,0.002047981275599766,0.6591467362777688
2007-08,3906,2599,23,105806.51000000001,0.6653865847414234,0.005888376856118792,0.658271038745198
2007-09,4352,2887,13,107231.83,0.6633731617647058,0.0029871323529411763,0.6605910682229325
2007-10,4872,3150,13,119389.3,0.646551724137931,0.0026683087027914616,0.6584371568813534
2007-11,4766,3090,5,97144.2,0.648342425514058,0.001049097775912715,0.6527557704722317
2007-12,5898,3846,23,142222.97000000003,0.6520854526958291,0.003899626992200746,0.648993200782606
2008-01,6763,4447,461,141614.38,0.6575484252550643,0.0681650155256543,0.6526587678216504
2008-02,6824,4666,840,152252.32,0.6837631887456037,0.123094958968347,0.6644656888988324
2008-03,7141,4947,807,172066.08000000002,0.692760117630584,0.11300938243943426,0.6780239105437507
2008-04,7353,5289,692,191445.24,0.7192982456140351,0.09411124711002312,0.6986071839967409
2008-05,8047,5893,742,169811.49,0.7323226046974027,0.0922082763762893,0.7147936559806739
2008-06,8624,6348,808,194948.68,0.7360853432282004,0.09369202226345083,0.729235397846546
2008-07,8696,6354,885,195699.41999999998,0.7306807727690893,0.10177092916283349,0.7330295735648975
2008-08,11041,8241,986,294158.65,0.7463997826283851,0.0893035051172901,0.7377219662085582
2008-09,12225,9163,1168,269784.83,0.7495296523517383,0.09554192229038855,0.7422034025830708
2008-10,12684,9667,1268,233268.86,0.7621412803532008,0.0999684642068748,0.7526902384444414
2008-11,12068,9259,1198,287872.07,0.7672356645674511,0.09927079880676168,0.7596355324241301
2008-12,13619,10368,1384,300009.44,0.7612893751376754,0.1016227329466187,0.7635554400194424
2009-01,14427,11212,1287,296321.22,0.7771539474596243,0.0892077354959451,0.7685596623882502
2009-02,14120,10915,1355,278431.08,0.7730169971671388,0.09596317280453258,0.7704867732548127
2009-03,15981,12299,1554,296731.08,0.7696014016644765,0.09724047306176084,0.7732574487637466
2009-04,18607,14601,1719,354526.02,0.7847046810340195,0.0923845864459612,0.7757743599552116
2009-05,20016,15411,1967,346292.72000000003,0.7699340527577938,0.09827138289368505,0.7747467118187633
