customer_id,last_payment,frequency,monetary,recency_days,r_score,f_score,m_score,segment
01e10adf72398bdf40b668926be2809ccf68b4dd,2010-01-02 20:51:10.589010,65,3602.44,39,3,4,5,high_value
02abfe216906d699a48d39d56b71327b294027cb,2009-03-31 12:59:44.735396,73,3264.33,316,2,4,4,at_risk
0e6470540c439c8a8258849bbe898b284bbcf94f,2008-05-20 14:36:35.160078,1,0.1,631,1,1,1,standard
134be5823bcfd7214cd8cf7b4f431eeb912e10ab,2010-02-06 13:39:46.624748,18,2087.82,4,3,3,4,high_value
1911acfcfdc29f5349706da6c1494009e7125da0,2010-02-10 21:28:52.845511,70,218.87,0,5,4,2,standard
365a3d703f257f52adde00af51c7f4897a6f9c6a,2010-02-10 07:20:57.816799,8,273.0,0,5,2,3,new_or_reactivated
4bb19acaac03d1a7c05f861962da52c56cf580bc,2008-04-02 11:30:28.017879,1,0.0,679,1,1,1,standard
4d77a245c5a8140938c1e61a95107f4b89a103ef,2009-12-02 16:33:38.083326,6,60.5,70,2,2,2,standard
5300313e698b5062bfe820f7efc7571699b4bb4c,2010-02-02 07:54:05.430011,178,1493.37,8,3,5,4,high_value
5fa03c0259fe9d6d7763bf34ab2812da2a9ee930,2008-12-14 14:22:55.484823,15,958.59,423,1,3,4,at_risk
64c370a753b1db282770cdbf2aba5434a3185b3d,2010-02-10 10:04:29.592907,315,6351.54,0,5,5,5,champion
6b9aa19c38a47a7d809eb3203685aaf80e25e9d6,2010-02-06 07:25:14.561838,52,3293.09,4,4,3,5,high_value
6e00ad8c3ecee4ef5ba5f8ddf15527a0493951a9,2008-07-20 08:52:54.183500,94,3458.5,570,1,5,5,at_risk
7212cf1b8e27486ec2eea681ab82e6c3f44f2970,2010-01-05 21:06:59.950603,7,91.67,36,3,2,2,standard
7a2bce009f441ab34def6cf5f7574854e9fd076f,2010-02-08 17:02:25.193752,57,239.7,2,4,3,2,standard
a13b6236cb9139e7d2af7b10cec49073a493d27a,2009-04-03 22:03:43.270802,1,300.0,312,2,1,3,standard
bdb4a4c12e84cf47100355e313846e5b40137f8d,2009-07-29 10:34:25.150500,1,0.1,196,2,1,1,standard
c662c16eda20102b8bf391b6ed1f8d3ce4018da1,2006-07-18 14:51:07.741591,1,0.0,1303,1,1,1,standard
d292da2283043c07accb1086a004caaf05472d44,2010-02-10 17:20:17.151026,82,275.2,0,5,4,3,standard
d31fab6a6a6045defebf2e83a31a99d5704de6b0,2010-02-08 21:23:02.488965,6,25.16,2,4,2,1,new_or_reactivated
f01dc54a26fe2a3def3dee28f7fb7c56c83ee7e7,2010-02-09 19:29:56.487253,113,383.61,1,4,5,3,standard
f66f2f438fc87dd7deff8e022a67cc5d71aa6968,2010-02-10 17:13:55.066778,262,4523.2699999999995,0,5,5,5,champion
