failure_reason_clean,failed_payments,failed_amount,share_of_failed
expired,195,3776.0,0.45560747663551404
not_authorized,75,107771.74,0.17523364485981308
canceled,37,3138.7,0.08644859813084112
provider_expired,28,1563.65,0.06542056074766354
provider_rejected,23,1573.6499999999999,0.053738317757009345
internal_server_error,23,1056.31,0.053738317757009345
user_canceled_at_provider,21,383.28000000000003,0.04906542056074766
provider_error,10,261.43,0.02336448598130841
rejected,8,138.72,0.018691588785046728
insufficient_funds,7,98.63999999999999,0.016355140186915886
missing,1,6.0,0.002336448598130841
