month,payments,executed,failed,tpv,execution_rate,failure_rate,execution_rate_3m_avg
2006-07,1,1,0,0.0,1.0,0.0,
2007-04,1,1,0,9.58,1.0,0.0,
2007-07,2,1,0,14.32,0.5,0.0,0.8333333333333334
2007-10,3,1,0,2.5,0.3333333333333333,0.0,0.611111111111111
2007-11,6,0,1,0.0,0.0,0.16666666666666666,0.27777777777777773
2007-12,5,1,0,2.0,0.2,0.0,0.17777777777777778
2008-01,58,17,21,1000.6,0.29310344827586204,0.3620689655172414,0.16436781609195403
2008-02,186,80,69,2480.8,0.43010752688172044,0.3709677419354839,0.30773699171919416
2008-03,10,0,0,0.0,0.0,0.0,0.24107032505252754
2008-04,5,3,1,220.05,0.6,0.2,0.3433691756272401
2008-05,20,12,3,121.56,0.6,0.15,0.3999999999999999
2008-06,26,13,10,211.95,0.5,0.38461538461538464,0.5666666666666665
2008-07,26,16,5,413.99,0.6153846153846154,0.19230769230769232,0.5717948717948719
2008-08,28,12,11,142.52999999999997,0.42857142857142855,0.39285714285714285,0.5146520146520146
2008-09,32,25,5,2483.29,0.78125,0.15625,0.6084020146520146
2008-10,35,25,5,670.2499999999999,0.7142857142857143,0.14285714285714285,0.6413690476190476
2008-11,38,33,4,1134.78,0.868421052631579,0.10526315789473684,0.7879855889724311
2008-12,41,34,4,1175.3400000000001,0.8292682926829268,0.0975609756097561,0.8039916865334066
2009-01,29,20,8,430.23,0.6896551724137931,0.27586206896551724,0.795781505909433
2009-02,29,24,5,311.11,0.8275862068965517,0.1724137931034483,0.782169890664424
2009-03,31,24,7,276.39,0.7741935483870968,0.22580645161290322,0.7638116425658139
2009-04,19,18,1,728.71,0.9473684210526315,0.05263157894736842,0.84971605877876
2009-05,37,32,4,750.87,0.8648648648648649,0.10810810810810811,0.8621422781015311
2009-06,50,40,8,304.33000000000004,0.8,0.16,0.8707444286391656
2009-07,71,49,17,613.48,0.6901408450704225,0.23943661971830985,0.7850019033117626
2009-08,116,93,22,2043.1500000000003,0.8017241379310345,0.1896551724137931,0.763954994333819
2009-09,154,111,42,1365.5499999999997,0.7207792207792207,0.2727272727272727,0.7375480679268925
2009-10,159,130,26,2722.7,0.8176100628930818,0.16352201257861634,0.7800378072011123
2009-11,154,123,25,2502.65,0.7987012987012987,0.16233766233766234,0.7790301941245338
2009-12,189,157,29,3588.0599999999995,0.8306878306878307,0.15343915343915343,0.8156663974274038
2010-01,314,239,64,4118.540000000001,0.7611464968152867,0.20382165605095542,0.7968452087348054
2010-02,125,91,31,1061.55,0.728,0.248,0.7732781091677058
